tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,improvement_surcharge,total_amount,congestion_surcharge,trip_duration,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2024-10-17 00:00:06,2024-10-17 00:13:07,1.0,2.29,161,79,16.37,0.0,0.5,1.0,20.37,2.5,781.0,40.75802804352629,-73.97769793122407,40.72762019590954,-73.98593745682462
2024-10-17 00:01:14,2024-10-17 00:11:10,1.0,1.17,161,100,3.0,0.0,0.5,1.0,1.0,2.5,596.0,40.75802804352629,-73.97769793122407,40.75351275872571,-73.9887865991153
2024-10-17 00:01:14,2024-10-17 00:11:10,1.0,1.17,161,100,10.26,0.0,0.5,1.0,14.26,2.5,596.0,40.75802804352629,-73.97769793122407,40.75351275872571,-73.9887865991153
2024-10-17 00:02:54,2024-10-17 00:09:45,1.0,0.81,161,48,7.9,1.0,0.5,1.0,15.48,2.5,411.0,40.75802804352629,-73.97769793122407,40.76225275531935,-73.98984464313298
2024-10-17 00:03:00,2024-10-17 00:16:21,1.0,3.01,161,239,14.43,0.0,0.5,1.0,18.43,2.5,801.0,40.75802804352629,-73.97769793122407,40.78396143031379,-73.97863194845084
2024-10-17 00:03:11,2024-10-17 00:15:05,1.0,2.19,161,239,14.2,1.0,0.5,1.0,21.2,2.5,714.0,40.75802804352629,-73.97769793122407,40.78396143031379,-73.97863194845084
2024-10-17 00:03:43,2024-10-17 00:16:48,1.0,2.53,161,224,15.6,1.0,0.5,1.0,20.6,2.5,785.0,40.75802804352629,-73.97769793122407,40.73182063601678,-73.97659767323344
2024-10-17 00:03:43,2024-10-17 00:16:48,1.0,2.53,161,4,15.6,1.0,0.5,1.0,20.6,2.5,785.0,40.75802804352629,-73.97769793122407,40.72375214158479,-73.97696825691769
2024-10-17 00:03:58,2024-10-17 00:14:03,1.0,2.22,161,137,12.8,1.0,0.5,1.0,20.8,2.5,605.0,40.75802804352629,-73.97769793122407,40.74043897859643,-73.97649472376759
2024-10-17 00:04:00,2024-10-17 00:11:18,1.0,1.52,161,90,9.3,1.0,0.5,1.0,17.16,2.5,438.0,40.75802804352629,-73.97769793122407,40.74227862901229,-73.99697141558367
2024-10-17 00:04:14,2024-10-17 00:09:38,2.0,0.7,161,237,6.5,3.5,0.5,1.0,13.8,2.5,324.0,40.75802804352629,-73.97769793122407,40.76861518381157,-73.96563453538069
2024-10-17 00:04:23,2024-10-17 00:40:34,1.0,6.83,161,157,38.7,1.0,0.5,1.0,50.64,2.5,2171.0,40.75802804352629,-73.97769793122407,40.72399507493358,-73.90232968131379
2024-10-17 00:04:41,2024-10-17 00:12:13,1.0,1.43,161,236,10.0,1.0,0.5,1.0,15.0,2.5,452.0,40.75802804352629,-73.97769793122407,40.780436437189955,-73.95701169835736
2024-10-17 00:05:07,2024-10-17 00:17:21,1.0,2.03,161,107,14.2,1.0,0.5,1.0,23.04,2.5,734.0,40.75802804352629,-73.97769793122407,40.73682405761895,-73.9840521326891
2024-10-17 00:05:10,2024-10-17 00:16:38,1.0,2.2,161,236,14.2,1.0,0.5,1.0,23.04,2.5,688.0,40.75802804352629,-73.97769793122407,40.780436437189955,-73.95701169835736
2024-10-17 00:05:28,2024-10-17 00:38:34,5.0,8.4,161,225,39.4,1.0,0.5,1.0,53.28,2.5,1986.0,40.75802804352629,-73.97769793122407,40.68816818695491,-73.93188826440705
2024-10-17 00:05:32,2024-10-17 00:12:08,1.0,1.14,161,141,7.9,1.0,0.5,1.0,12.9,2.5,396.0,40.75802804352629,-73.97769793122407,40.76694821638321,-73.95963474149167
2024-10-17 00:05:35,2024-10-17 00:19:17,1.0,2.44,161,113,14.9,1.0,0.5,1.0,23.88,2.5,822.0,40.75802804352629,-73.97769793122407,40.732579073027026,-73.99430477051166
2024-10-17 00:05:46,2024-10-17 00:27:15,1.0,3.8,161,144,21.9,3.5,0.5,1.0,32.25,2.5,1289.0,40.75802804352629,-73.97769793122407,40.72088889344528,-73.99691854183824
