tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,improvement_surcharge,total_amount,congestion_surcharge,trip_duration,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2024-10-27 00:00:36,2024-10-27 00:23:06,1.0,2.2,186,79,19.8,3.5,0.5,1.0,27.8,2.5,1350.0,40.748497181405014,-73.9924375369761,40.72762019590954,-73.98593745682462
2024-10-27 00:00:38,2024-10-27 00:32:38,1.0,5.43,186,166,33.8,1.0,0.5,1.0,50.44,2.5,1920.0,40.748497181405014,-73.9924375369761,40.80945696112528,-73.9617635968293
2024-10-27 00:00:40,2024-10-27 00:11:31,1.0,0.73,186,246,10.7,1.0,0.5,1.0,15.7,2.5,651.0,40.748497181405014,-73.9924375369761,40.753309065983466,-74.00401512528673
2024-10-27 00:00:48,2024-10-27 00:19:55,1.0,3.27,186,263,20.5,1.0,0.5,1.0,30.6,2.5,1147.0,40.748497181405014,-73.9924375369761,40.77876585543438,-73.951009874818
2024-10-27 00:00:50,2024-10-27 00:05:34,1.0,0.59,186,90,6.5,1.0,0.5,1.0,13.8,2.5,284.0,40.748497181405014,-73.9924375369761,40.74227862901229,-73.99697141558367
2024-10-27 00:01:35,2024-10-27 00:23:21,1.0,0.88,186,100,18.4,1.0,0.5,1.0,26.4,2.5,1306.0,40.748497181405014,-73.9924375369761,40.75351275872571,-73.9887865991153
2024-10-27 00:01:49,2024-10-27 00:15:21,1.0,1.28,186,137,12.8,1.0,0.5,1.0,21.8,2.5,812.0,40.748497181405014,-73.9924375369761,40.74043897859643,-73.97649472376759
2024-10-27 00:02:16,2024-10-27 00:24:55,1.0,3.2,186,141,21.9,3.5,0.5,1.0,26.9,2.5,1359.0,40.748497181405014,-73.9924375369761,40.76694821638321,-73.95963474149167
2024-10-27 00:02:39,2024-10-27 00:13:51,1.0,0.56,186,100,10.7,1.0,0.5,1.0,15.7,2.5,672.0,40.748497181405014,-73.9924375369761,40.75351275872571,-73.9887865991153
2024-10-27 00:03:09,2024-10-27 00:13:47,1.0,1.47,186,107,11.4,1.0,0.5,1.0,16.4,2.5,638.0,40.748497181405014,-73.9924375369761,40.73682405761895,-73.9840521326891
